,Unnamed: 0,PROPERTY LEVEL LATITUDE,PROPERTY LEVEL LONGITUDE,ORIGINAL APN,ind,address,type,delivery_point_barcode,record_type,rdi,dpv_match_code,dpv_footnotes,footnotes,1br_rent_estimate,search_radius,1br_affordable_75,1br_affordable_80,1br_affordable_85,1br_affordable_90,1br_affordable_95,1br_affordable_100
0,0,42.782521,-85.502569,41-23-33-101-001,0.0,"10010 Crossroads Ct, Caledonia, MI 49316, USA",premise,493168000000.0,H,Residential,D,AAN1,H#L#M#,1305,1.5,1,1,1,1,1,1
1,1,42.786286,-85.509398,41-23-29-476-028,0.0,"301 S Maple St SE, Caledonia, MI 49316, USA",street_address,493169000000.0,H,Residential,D,AAN1,H#,1305,1.5,1,1,1,1,1,1
2,2,42.789451,-85.514409,41-23-29-403-004,0.0,"203 E Main St SE, Caledonia, MI 49316, USA",beauty_salon,493167000000.0,H,Residential,D,AAN1,H#,1305,1.5,1,1,1,1,1,1
3,3,42.79047,-85.513271,41-23-29-254-009,0.0,"303 Emmons St SE, Caledonia, MI 49316, USA",premise,493167000000.0,H,Residential,D,AAN1,H#,1305,1.5,1,1,1,1,1,1
4,4,42.812479,-85.67151,41-21-13-400-065,0.0,"325 84th St SW, Byron Center, MI 49315, USA",premise,493159000000.0,H,Residential,D,AAN1,H#,908,1.5,0,0,0,0,0,0
5,5,42.813725,-85.714827,41-21-15-376-014,0.0,"2115 84th St SW Ste A, Byron Center, MI 49315, USA",establishment,493159000000.0,H,Residential,Y,AABB,N#,1034,1.5,1,1,0,0,0,0
6,6,42.827619,-85.66024,41-22-07-353-057,0.0,"146 Lurie St SE, Kentwood, MI 49548, USA",street_address,495488000000.0,H,Residential,D,AAN1,H#,908,1.5,0,0,0,0,0,0
7,7,42.830008,-85.65979200000002,41-22-07-305-053,0.0,"146 Coleman St SE, Grand Rapids, MI 49548, USA",premise,495488000000.0,H,Residential,D,AAN1,H#,908,1.5,0,0,0,0,0,0
8,8,42.830009,-85.660622,41-22-07-305-052,0.0,"116 Coleman St SE, Grand Rapids, MI 49548, USA",premise,495488000000.0,H,Residential,D,AAN1,H#,908,1.5,0,0,0,0,0,0
9,9,42.835228,-85.625201,41-22-08-276-005,0.0,"7115 Kalamazoo Ave SE, Caledonia, MI 49316, USA",street_address,493169000000.0,H,Residential,D,AAN1,H#,1305,1.5,1,1,1,1,1,1
